,Date,Total Emails Received,Total Reverted,Response Rate (%),Remarks,,,,,
,27 Mar 26,220,213,96.82%,,,7,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  7 Email are either Duplicate/Blank/Bank / Thanks Mail
,28 Mar 26,200,179,89.50%,21 Emails either Duplicate and blank emails,,21,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  21 Email are either Duplicate/Blank/Bank / Thanks Mail
,29 Mar 26,205,190,92.68%,15 Thank You Emails ,,15,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  15 Email are either Duplicate/Blank/Bank / Thanks Mail
,30 Mar 26,290,255,87.93%,35 Duplicate and Bank Revert Emails ,,35,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  35 Email are either Duplicate/Blank/Bank / Thanks Mail
,31 Mar 26,120,107,89.17%,13 Duplicate Emails ,,13,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  13 Email are either Duplicate/Blank/Bank / Thanks Mail
,1 Apr 26,200,177,88.50%,23 Bank Emails and Thank you Emails,,23,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  23 Email are either Duplicate/Blank/Bank / Thanks Mail
,2 Apr 26,210,206,98.10%,4 Thank You Emails ,,4,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  4 Email are either Duplicate/Blank/Bank / Thanks Mail
,3 Apr 26,345,340,98.55%,,,5,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  5 Email are either Duplicate/Blank/Bank / Thanks Mail
,4 Apr 26,250,240,96.00%,,,10,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  10 Email are either Duplicate/Blank/Bank / Thanks Mail
,5 Apr 26,403,390,96.77%,,,13,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  13 Email are either Duplicate/Blank/Bank / Thanks Mail
,6 Apr 26,600,517,86.17%,83 Bank Revert Emails And Duplicate Emails ,,83,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  83 Email are either Duplicate/Blank/Bank / Thanks Mail
,7 Apr 26,390,387,99.23%,,,3,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  3 Email are either Duplicate/Blank/Bank / Thanks Mail
,8 Apr 26,250,238,95.20%,,,12,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  12 Email are either Duplicate/Blank/Bank / Thanks Mail
,9 Apr 26,240,230,95.83%,,,10,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  10 Email are either Duplicate/Blank/Bank / Thanks Mail
,10 Apr 26,260,250,96.15%,,,10,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  10 Email are either Duplicate/Blank/Bank / Thanks Mail
,11 Apr 26,222,213,95.95%,,,9,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  9 Email are either Duplicate/Blank/Bank / Thanks Mail
,12 Apr 26,240,226,94.17%,,,14,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  14 Email are either Duplicate/Blank/Bank / Thanks Mail
,13 Apr 26,235,225,95.74%,,,10,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  10 Email are either Duplicate/Blank/Bank / Thanks Mail
,14 Apr 26,272,263,96.69%,,,9,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  9 Email are either Duplicate/Blank/Bank / Thanks Mail
,15 Apr 26,240,225,93.75%,15 Thank you Emails And Duplicate Emails,,15,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  15 Email are either Duplicate/Blank/Bank / Thanks Mail
,16 Apr 26,282,272,96.45%,,,10,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  10 Email are either Duplicate/Blank/Bank / Thanks Mail
,17 Apr 26,268,253,94.40%,,,15,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  15 Email are either Duplicate/Blank/Bank / Thanks Mail
,18 Apr 26,231,220,95.24%,,,11,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  11 Email are either Duplicate/Blank/Bank / Thanks Mail
,19 Apr 26,490,468,95.51%,,,22,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  22 Email are either Duplicate/Blank/Bank / Thanks Mail
,20 Apr 26,420,403,95.95%,,,17,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  17 Email are either Duplicate/Blank/Bank / Thanks Mail
,21 Apr 26,370,353,95.41%,,,17,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  17 Email are either Duplicate/Blank/Bank / Thanks Mail
,22 Apr 26,390,377,96.67%,,,13,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  13 Email are either Duplicate/Blank/Bank / Thanks Mail
,23 Apr 26,470,400,85.11%,70 Bank Revert(CC) Emails and Thank you Emails ,,70,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  70 Email are either Duplicate/Blank/Bank / Thanks Mail
,24 Apr 26,1100,954,86.73%,146 Duplicate Emails and Blank Emails,,146,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  146 Email are either Duplicate/Blank/Bank / Thanks Mail
,25 Apr 26,2400,2002,83.42%,398 Duplicate Emails and Blank and Thank you ,,398,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  398 Email are either Duplicate/Blank/Bank / Thanks Mail
,26 Apr 26,490,434,88.57%,56 Thank you and Blank Emails,,56,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  56 Email are either Duplicate/Blank/Bank / Thanks Mail
,27 Apr 26,290,274,94.48%,16 Blank Emails,,16,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  16 Email are either Duplicate/Blank/Bank / Thanks Mail
,28 Apr 26,175,169,96.57%,,,6,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  6 Email are either Duplicate/Blank/Bank / Thanks Mail
,29 Apr 26,137,129,94.16%,,,8,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  8 Email are either Duplicate/Blank/Bank / Thanks Mail
,30 Apr 26,136,130,95.59%,,,6,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  6 Email are either Duplicate/Blank/Bank / Thanks Mail
,1 May 26,,,,,,0,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  0 Email are either Duplicate/Blank/Bank / Thanks Mail
,,13041,11909,,,,1132,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  1132 Email are either Duplicate/Blank/Bank / Thanks Mail
,,,,,,,0,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  0 Email are either Duplicate/Blank/Bank / Thanks Mail
,,,,,,,0,The Left over ,Email are either Duplicate/Blank/Bank / Thanks Mail,The Left over  0 Email are either Duplicate/Blank/Bank / Thanks Mail
